step,train_loss,train_accuracy,learning_rate,wall_clock_time_sec,ce_loss,pairwise_loss,resistance_supervision_loss,val_accuracy,val_ece
1,1.922932744026184,0.140625,0.001,3.476825475692749,1.922932744026184,0.005142941605299711,0.0,,
2,1.8536381721496582,0.171875,0.001,3.4863317012786865,1.8536381721496582,0.004876527935266495,0.0,,
3,1.8423718214035034,0.15625,0.001,3.490384340286255,1.8423718214035034,0.0047515868209302425,0.0,,
4,1.8128533363342285,0.140625,0.001,3.4944252967834473,1.8128533363342285,0.004651529248803854,0.0,,
5,1.6206562519073486,0.265625,0.001,3.498741626739502,1.6206562519073486,0.0045677172020077705,0.0,,
6,1.6628543138504028,0.21875,0.001,3.5033953189849854,1.6628543138504028,0.004467703402042389,0.0,,
7,1.6033644676208496,0.234375,0.001,3.507660150527954,1.6033644676208496,0.0043557449243962765,0.0,,
8,1.56404709815979,0.15625,0.001,3.514089584350586,1.56404709815979,0.004229921847581863,0.0,,
9,1.5175201892852783,0.25,0.001,3.518338918685913,1.5175201892852783,0.004110237117856741,0.0,,
10,1.566286325454712,0.171875,0.001,3.522564172744751,1.566286325454712,0.003990987781435251,0.0,,
11,1.5163874626159668,0.171875,0.001,3.5286612510681152,1.5163874626159668,0.0038790167309343815,0.0,,
12,1.5068087577819824,0.1875,0.001,3.5349583625793457,1.5068087577819824,0.003775386605411768,0.0,,
13,1.3606293201446533,0.375,0.001,3.5390732288360596,1.3606293201446533,0.003687948687002063,0.0,,
14,1.3661354780197144,0.3125,0.001,3.543302536010742,1.3661354780197144,0.0036095844116061926,0.0,,
15,1.3305385112762451,0.375,0.001,3.5474302768707275,1.3305385112762451,0.0035396316088736057,0.0,,
16,1.318686604499817,0.484375,0.001,3.55145263671875,1.318686604499817,0.003482276340946555,0.0,,
17,1.2317067384719849,0.53125,0.001,3.55552077293396,1.2317067384719849,0.0034321860875934362,0.0,,
18,1.258125901222229,0.578125,0.001,3.561803102493286,1.258125901222229,0.003384337527677417,0.0,,
19,1.2283813953399658,0.53125,0.001,3.5661258697509766,1.2283813953399658,0.003352087689563632,0.0,,
20,1.2198041677474976,0.609375,0.001,3.5738906860351562,1.2198041677474976,0.0033179991878569126,0.0,,
21,1.0927289724349976,0.875,0.001,3.5782053470611572,1.0927289724349976,0.0032863400410860777,0.0,,
22,1.1452369689941406,0.796875,0.001,3.5839333534240723,1.1452369689941406,0.0032476403284817934,0.0,,
23,1.0960530042648315,0.78125,0.001,3.5881340503692627,1.0960530042648315,0.0032065429259091616,0.0,,
24,1.0489065647125244,0.796875,0.001,3.5947821140289307,1.0489065647125244,0.0031679447274655104,0.0,,
25,1.0397276878356934,0.75,0.001,3.73065447807312,1.0397276878356934,0.003138152649626136,0.0,0.9453125,0.5228684544563293
26,0.9960336089134216,0.859375,0.001,3.8641793727874756,0.9960336089134216,0.0031123918015509844,0.0,,
27,0.9818927645683289,0.8125,0.001,3.9009573459625244,0.9818927645683289,0.00308582023717463,0.0,,
28,1.0072424411773682,0.8125,0.001,3.9068620204925537,1.0072424411773682,0.0030615394935011864,0.0,,
29,0.9866293668746948,0.875,0.001,3.912105083465576,0.9866293668746948,0.003040686249732971,0.0,,
30,1.0037792921066284,0.8125,0.001,3.917269229888916,1.0037792921066284,0.003011431312188506,0.0,,
31,0.8620672821998596,0.890625,0.001,3.9226596355438232,0.8620672821998596,0.0029784799553453922,0.0,,
32,0.9050415754318237,0.828125,0.001,3.9369606971740723,0.9050415754318237,0.0029576581437140703,0.0,,
33,0.8375315070152283,0.875,0.001,3.9432051181793213,0.8375315070152283,0.0029383457731455564,0.0,,
34,0.8375326991081238,0.890625,0.001,3.9514007568359375,0.8375326991081238,0.002922650193795562,0.0,,
35,0.8174331784248352,0.875,0.001,3.9595940113067627,0.8174331784248352,0.0029211135115474463,0.0,,
36,0.8303804993629456,0.828125,0.001,3.9659364223480225,0.8303804993629456,0.0029195870738476515,0.0,,
37,0.7495121359825134,0.9375,0.001,3.9722249507904053,0.7495121359825134,0.0029214785899966955,0.0,,
38,0.8450520634651184,0.8125,0.001,3.9784154891967773,0.8450520634651184,0.0029233612585812807,0.0,,
39,0.7129685878753662,0.9375,0.001,3.9845948219299316,0.7129685878753662,0.002926813205704093,0.0,,
40,0.7496415376663208,0.859375,0.001,3.9906857013702393,0.7496415376663208,0.0029240651056170464,0.0,,
41,0.7184057235717773,0.875,0.001,3.9970786571502686,0.7184057235717773,0.0029249670915305614,0.0,,
42,0.7463701367378235,0.84375,0.001,4.00312066078186,0.7463701367378235,0.0029248862992972136,0.0,,
43,0.6647917032241821,0.890625,0.001,4.009335041046143,0.6647917032241821,0.0029354169964790344,0.0,,
44,0.7128415107727051,0.875,0.001,4.015436887741089,0.7128415107727051,0.0029517428483814,0.0,,
45,0.7405075430870056,0.84375,0.001,4.023738145828247,0.7405075430870056,0.002970349043607712,0.0,,
46,0.6661394834518433,0.890625,0.001,4.0303497314453125,0.6661394834518433,0.002992443973198533,0.0,,
47,0.6574960947036743,0.890625,0.001,4.036711931228638,0.6574960947036743,0.003015778958797455,0.0,,
48,0.6249035596847534,0.890625,0.001,4.042998313903809,0.6249035596847534,0.0030477175023406744,0.0,,
49,0.6790941953659058,0.859375,0.001,4.049328327178955,0.6790941953659058,0.00307955383323133,0.0,,
50,0.6335668563842773,0.921875,0.001,4.055493116378784,0.6335668563842773,0.0031239427626132965,0.0,0.9765625,0.35596415400505066
51,0.5320695638656616,0.96875,0.001,4.076842784881592,0.5320695638656616,0.003174463752657175,0.0,,
52,0.7119128108024597,0.828125,0.001,5.085667610168457,0.7119128108024597,0.0032097571529448032,0.0,,
53,0.6075881719589233,0.859375,0.001,5.095233201980591,0.6075881719589233,0.003253062954172492,0.0,,
54,0.5218197703361511,0.90625,0.001,5.103684663772583,0.5218197703361511,0.0032889165449887514,0.0,,
55,0.701808512210846,0.796875,0.001,5.112192869186401,0.701808512210846,0.0033211831469088793,0.0,,
56,0.6466060280799866,0.859375,0.001,5.120439052581787,0.6466060280799866,0.003374990774318576,0.0,,
57,0.603591799736023,0.921875,0.001,5.127814054489136,0.603591799736023,0.0034336186945438385,0.0,,
58,0.6338483691215515,0.875,0.001,5.13875412940979,0.6338483691215515,0.0034982250072062016,0.0,,
59,0.5310407280921936,0.890625,0.001,5.146717309951782,0.5310407280921936,0.0035533972550183535,0.0,,
60,0.5605895519256592,0.890625,0.001,5.155181407928467,0.5605895519256592,0.003601944539695978,0.0,,
61,0.5492002964019775,0.890625,0.001,5.163830041885376,0.5492002964019775,0.003649085760116577,0.0,,
62,0.6107867956161499,0.875,0.001,5.17214560508728,0.6107867956161499,0.0036771276500076056,0.0,,
63,0.6189917922019958,0.859375,0.001,5.180214166641235,0.6189917922019958,0.003723998786881566,0.0,,
64,0.5039373636245728,0.96875,0.001,5.188557147979736,0.5039373636245728,0.003758856328204274,0.0,,
65,0.5388096570968628,0.875,0.001,5.196940898895264,0.5388096570968628,0.00379033456556499,0.0,,
66,0.48017045855522156,0.890625,0.001,5.205378293991089,0.48017045855522156,0.003823945764452219,0.0,,
67,0.5488548874855042,0.84375,0.001,5.213537931442261,0.5488548874855042,0.003845636500045657,0.0,,
68,0.5664220452308655,0.859375,0.001,5.221857786178589,0.5664220452308655,0.0038486213888972998,0.0,,
69,0.45691442489624023,0.9375,0.001,5.230224847793579,0.45691442489624023,0.003837463678792119,0.0,,
70,0.4780494272708893,0.90625,0.001,5.238448619842529,0.4780494272708893,0.0038231664802879095,0.0,,
71,0.44923341274261475,0.9375,0.001,5.2471840381622314,0.44923341274261475,0.0037916270084679127,0.0,,
72,0.5095571279525757,0.890625,0.001,5.255450248718262,0.5095571279525757,0.003747999668121338,0.0,,
73,0.5570967197418213,0.875,0.001,5.266203165054321,0.5570967197418213,0.0037009883671998978,0.0,,
74,0.4673820734024048,0.9375,0.001,5.447119474411011,0.4673820734024048,0.003660793649032712,0.0,,
75,0.4892841577529907,0.921875,0.001,5.456794500350952,0.4892841577529907,0.003627988277003169,0.0,0.9765625,0.2638062834739685
76,0.5324345231056213,0.84375,0.001,5.593156337738037,0.5324345231056213,0.0035961405374109745,0.0,,
77,0.4691905379295349,0.875,0.001,5.604872703552246,0.4691905379295349,0.0035750314127653837,0.0,,
78,0.5014808177947998,0.84375,0.001,5.614512920379639,0.5014808177947998,0.003550447290763259,0.0,,
79,0.5365527272224426,0.859375,0.001,5.626225233078003,0.5365527272224426,0.0035356306470930576,0.0,,
80,0.43034839630126953,0.921875,0.001,5.636957883834839,0.43034839630126953,0.0035127063747495413,0.0,,
81,0.47147491574287415,0.921875,0.001,5.643267631530762,0.47147491574287415,0.0034745633602142334,0.0,,
82,0.4741499125957489,0.890625,0.001,5.651244163513184,0.4741499125957489,0.003459106432273984,0.0,,
83,0.46344825625419617,0.875,0.001,5.6573591232299805,0.46344825625419617,0.003430090146139264,0.0,,
84,0.4574785828590393,0.890625,0.001,5.663477897644043,0.4574785828590393,0.0033973732497543097,0.0,,
85,0.3727807104587555,0.953125,0.001,5.66983962059021,0.3727807104587555,0.003357336623594165,0.0,,
86,0.4295431077480316,0.90625,0.001,5.680300235748291,0.4295431077480316,0.003323787823319435,0.0,,
87,0.4337306320667267,0.90625,0.001,5.6902618408203125,0.4337306320667267,0.0032843449153006077,0.0,,
88,0.4042954444885254,0.921875,0.001,5.702637195587158,0.4042954444885254,0.0032369159162044525,0.0,,
89,0.48118048906326294,0.890625,0.001,5.717263221740723,0.48118048906326294,0.0031742749270051718,0.0,,
90,0.4429335594177246,0.90625,0.001,5.726170539855957,0.4429335594177246,0.003130929544568062,0.0,,
91,0.4095541834831238,0.921875,0.001,5.734516382217407,0.4095541834831238,0.003079333109781146,0.0,,
92,0.46616220474243164,0.875,0.001,5.742930889129639,0.46616220474243164,0.0030355623457580805,0.0,,
93,0.4434024393558502,0.90625,0.001,5.751031398773193,0.4434024393558502,0.002989908680319786,0.0,,
94,0.3741450905799866,0.90625,0.001,5.760112524032593,0.3741450905799866,0.002934196265414357,0.0,,
95,0.4937441945075989,0.875,0.001,5.7705676555633545,0.4937441945075989,0.002869939198717475,0.0,,
96,0.40891698002815247,0.921875,0.001,5.781672716140747,0.40891698002815247,0.0028176389168947935,0.0,,
97,0.4627205729484558,0.859375,0.001,5.791525363922119,0.4627205729484558,0.002756464062258601,0.0,,
98,0.39590054750442505,0.921875,0.001,5.798401117324829,0.39590054750442505,0.002700685290619731,0.0,,
99,0.3780542016029358,0.921875,0.001,5.806739807128906,0.3780542016029358,0.0026323359925299883,0.0,,
100,0.4787014424800873,0.890625,0.001,5.813498258590698,0.4787014424800873,0.0025594790931791067,0.0,0.98046875,0.22072076797485352
101,0.39323580265045166,0.921875,0.001,5.8999364376068115,0.39323580265045166,0.002500925213098526,0.0,,
102,0.36934107542037964,0.90625,0.001,5.911014795303345,0.36934107542037964,0.0024284105747938156,0.0,,
103,0.38169926404953003,0.953125,0.001,5.922959089279175,0.38169926404953003,0.002354994183406234,0.0,,
104,0.394095778465271,0.921875,0.001,5.934540271759033,0.394095778465271,0.0022715546656399965,0.0,,
105,0.37146860361099243,0.921875,0.001,5.945435285568237,0.37146860361099243,0.002193640684708953,0.0,,
106,0.3617580533027649,0.9375,0.001,5.9537200927734375,0.3617580533027649,0.002122555859386921,0.0,,
107,0.36055344343185425,0.953125,0.001,5.964573621749878,0.36055344343185425,0.0020595190580934286,0.0,,
108,0.3840552270412445,0.90625,0.001,5.972759485244751,0.3840552270412445,0.0019991453737020493,0.0,,
109,0.29434654116630554,0.9375,0.001,5.980908155441284,0.29434654116630554,0.0019329561619088054,0.0,,
110,0.45790302753448486,0.859375,0.001,5.98919939994812,0.45790302753448486,0.001857611583545804,0.0,,
111,0.3338146507740021,0.921875,0.001,5.997542381286621,0.3338146507740021,0.0017884246772155166,0.0,,
112,0.41875332593917847,0.875,0.001,6.006181240081787,0.41875332593917847,0.0017152918735519052,0.0,,
113,0.3070554733276367,0.9375,0.001,6.016184329986572,0.3070554733276367,0.001639162772335112,0.0,,
114,0.4550451636314392,0.84375,0.001,6.027095556259155,0.4550451636314392,0.001558041200041771,0.0,,
115,0.4458240270614624,0.84375,0.001,6.034892797470093,0.4458240270614624,0.001474402961321175,0.0,,
116,0.41120660305023193,0.890625,0.001,7.490500450134277,0.41120660305023193,0.0013942794175818563,0.0,,
117,0.4695766270160675,0.875,0.001,7.499077796936035,0.4695766270160675,0.0013144032564014196,0.0,,
118,0.5365815162658691,0.8125,0.001,7.507371187210083,0.5365815162658691,0.001245568972080946,0.0,,
119,0.31573858857154846,0.9375,0.001,7.515631914138794,0.31573858857154846,0.0011968804756179452,0.0,,
120,0.3078361451625824,0.953125,0.001,7.524090528488159,0.3078361451625824,0.0011590135982260108,0.0,,
121,0.4562709629535675,0.828125,0.001,7.535993814468384,0.4562709629535675,0.0010987228015437722,0.0,,
122,0.37327638268470764,0.859375,0.001,7.544738531112671,0.37327638268470764,0.0010498989140614867,0.0,,
123,0.32537347078323364,0.9375,0.001,7.552773475646973,0.32537347078323364,0.0010014923755079508,0.0,,
124,0.3728800415992737,0.90625,0.001,7.560989618301392,0.3728800415992737,0.0009617951582185924,0.0,,
125,0.3214224576950073,0.921875,0.001,7.57058048248291,0.3214224576950073,0.0009167648968286812,0.0,0.984375,0.19115827977657318
126,0.41474899649620056,0.875,0.001,7.6571736335754395,0.41474899649620056,0.0008682757033966482,0.0,,
127,0.3727586269378662,0.921875,0.001,7.66820764541626,0.3727586269378662,0.0008283914066851139,0.0,,
128,0.3946954309940338,0.890625,0.001,7.676079750061035,0.3946954309940338,0.0007920061470940709,0.0,,
129,0.32321760058403015,0.953125,0.001,7.684349775314331,0.32321760058403015,0.0007613496854901314,0.0,,
130,0.33223333954811096,0.890625,0.001,7.692574977874756,0.33223333954811096,0.0007293159724213183,0.0,,
131,0.4574142098426819,0.84375,0.001,7.701069593429565,0.4574142098426819,0.0006950722308829427,0.0,,
132,0.4119100272655487,0.890625,0.001,7.709557294845581,0.4119100272655487,0.0006743640988133848,0.0,,
133,0.39803624153137207,0.90625,0.001,7.717621326446533,0.39803624153137207,0.0006594016449525952,0.0,,
134,0.34041348099708557,0.9375,0.001,7.725830554962158,0.34041348099708557,0.0006298834341578186,0.0,,
135,0.35544928908348083,0.90625,0.001,7.73583722114563,0.35544928908348083,0.0005983604933135211,0.0,,
136,0.3150360584259033,0.953125,0.001,7.744170904159546,0.3150360584259033,0.0005608936189673841,0.0,,
137,0.2951553761959076,0.984375,0.001,7.752777576446533,0.2951553761959076,0.0005235932185314596,0.0,,
