step,train_loss,train_accuracy,learning_rate,wall_clock_time_sec,ce_loss,pairwise_loss,resistance_supervision_loss,val_accuracy,val_ece
1,1.6120375394821167,0.046875,0.001,4.1902995109558105,1.6114423274993896,0.011904238723218441,0.0,,
2,1.6070231199264526,0.0625,0.001,4.20618748664856,1.6064552068710327,0.011357995681464672,0.0,,
3,1.5950815677642822,0.171875,0.001,4.221225261688232,1.5945359468460083,0.010913297533988953,0.0,,
4,1.5954475402832031,0.21875,0.001,4.231443881988525,1.594926357269287,0.010423065163195133,0.0,,
5,1.5966200828552246,0.25,0.001,4.243681192398071,1.5961228609085083,0.009943838231265545,0.0,,
6,1.5829246044158936,0.390625,0.001,4.255905628204346,1.5824499130249023,0.009494847618043423,0.0,,
7,1.5810697078704834,0.59375,0.001,4.269936561584473,1.5806173086166382,0.009048364125192165,0.0,,
8,1.570574164390564,0.671875,0.001,4.285771131515503,1.5701435804367065,0.008610883727669716,0.0,,
9,1.5662280321121216,0.734375,0.001,4.300026178359985,1.5658187866210938,0.008185562677681446,0.0,,
10,1.5596336126327515,0.765625,0.001,4.321976900100708,1.5592453479766846,0.007765002083033323,0.0,,
11,1.5501046180725098,0.796875,0.001,4.3381125926971436,1.5497369766235352,0.007352289743721485,0.0,,
12,1.5492790937423706,0.796875,0.001,4.352492094039917,1.5489311218261719,0.006960204336792231,0.0,,
13,1.5318723917007446,0.78125,0.001,4.366666078567505,1.5315428972244263,0.0065891980193555355,0.0,,
14,1.5278109312057495,0.859375,0.001,4.382885456085205,1.5274986028671265,0.006247357930988073,0.0,,
15,1.5178574323654175,0.84375,0.001,4.401251554489136,1.5175610780715942,0.00592666445299983,0.0,,
16,1.5048162937164307,0.859375,0.001,4.421282052993774,1.5045342445373535,0.005640305113047361,0.0,,
17,1.485799789428711,0.921875,0.001,4.437932968139648,1.485529899597168,0.005397367756813765,0.0,,
18,1.4877344369888306,0.828125,0.001,4.452139377593994,1.4874740839004517,0.0052069444209337234,0.0,,
19,1.4725180864334106,0.875,0.001,4.474416971206665,1.4722652435302734,0.005056255962699652,0.0,,
20,1.4771690368652344,0.796875,0.001,4.4938740730285645,1.476921796798706,0.004944199230521917,0.0,,
21,1.435511589050293,0.90625,0.001,4.510398626327515,1.4352678060531616,0.004875833168625832,0.0,,
22,1.4292852878570557,0.859375,0.001,4.533238410949707,1.4290428161621094,0.004848439712077379,0.0,,
23,1.4257566928863525,0.84375,0.001,4.548456430435181,1.4255138635635376,0.004855799023061991,0.0,,
24,1.4158991575241089,0.8125,0.001,4.565314769744873,1.4156537055969238,0.004909117706120014,0.0,,
25,1.4128750562667847,0.828125,0.001,4.585375070571899,1.412624716758728,0.005006322171539068,0.0,0.9375,0.6118635535240173
26,1.3513014316558838,0.859375,0.001,4.70377779006958,1.3510457277297974,0.0051150876097381115,0.0,,
27,1.354374885559082,0.84375,0.001,6.135536432266235,1.3541128635406494,0.005240236409008503,0.0,,
28,1.3455638885498047,0.75,0.001,6.1533825397491455,1.3452945947647095,0.005384740419685841,0.0,,
29,1.2955102920532227,0.890625,0.001,6.176933765411377,1.2952334880828857,0.00553670059889555,0.0,,
30,1.3074241876602173,0.828125,0.001,6.1975417137146,1.307140827178955,0.005667407531291246,0.0,,
31,1.2562518119812012,0.859375,0.001,6.216650485992432,1.2559634447097778,0.005767978727817535,0.0,,
32,1.2442383766174316,0.828125,0.001,6.234612703323364,1.2439457178115845,0.005854213144630194,0.0,,
33,1.2311385869979858,0.875,0.001,6.249939441680908,1.2308416366577148,0.005938915070146322,0.0,,
34,1.209180474281311,0.875,0.001,6.269536733627319,1.2088807821273804,0.005994174163788557,0.0,,
35,1.1779323816299438,0.84375,0.001,6.290327787399292,1.1776313781738281,0.006020905915647745,0.0,,
36,1.1727036237716675,0.890625,0.001,6.311446666717529,1.172402262687683,0.00602786336094141,0.0,,
37,1.1182788610458374,0.921875,0.001,6.3287012577056885,1.1179779767990112,0.006018110550940037,0.0,,
38,1.1712841987609863,0.828125,0.001,6.347950458526611,1.1709858179092407,0.005967396777123213,0.0,,
39,1.0737204551696777,0.875,0.001,6.363418340682983,1.0734262466430664,0.005885301157832146,0.0,,
40,1.0888524055480957,0.875,0.001,6.381145715713501,1.0885628461837769,0.0057912529446184635,0.0,,
41,1.0505510568618774,0.875,0.001,6.399687767028809,1.0502675771713257,0.005668725352734327,0.0,,
42,1.0690767765045166,0.84375,0.001,6.41996693611145,1.0687998533248901,0.00553877791389823,0.0,,
43,1.035614013671875,0.875,0.001,6.449292182922363,1.0353447198867798,0.005385243333876133,0.0,,
44,1.0579251050949097,0.875,0.001,6.465345859527588,1.0576649904251099,0.005202385131269693,0.0,,
45,1.0630139112472534,0.8125,0.001,6.490234136581421,1.0627647638320923,0.004983845632523298,0.0,,
46,1.0041637420654297,0.921875,0.001,6.5209801197052,1.003926157951355,0.004750510677695274,0.0,,
47,1.000974178314209,0.890625,0.001,6.551076173782349,1.0007495880126953,0.004491579718887806,0.0,,
48,0.9838908314704895,0.921875,0.001,6.569582223892212,0.9836797714233398,0.004221099894493818,0.0,,
49,0.9983644485473633,0.875,0.001,6.58868670463562,0.9981676340103149,0.003936841618269682,0.0,,
50,0.9982033967971802,0.90625,0.001,6.606239318847656,0.9980207681655884,0.0036525644827634096,0.0,0.984375,0.40060093998908997
51,0.9116453528404236,0.953125,0.001,6.712527513504028,0.9114775061607361,0.0033569559454917908,0.0,,
52,0.991348147392273,0.84375,0.001,6.731454133987427,0.9911944270133972,0.0030747135169804096,0.0,,
53,0.9145167469978333,0.9375,0.001,6.751206398010254,0.9143761992454529,0.0028104037046432495,0.0,,
54,0.8918004035949707,0.90625,0.001,6.769097328186035,0.8916723728179932,0.0025600867811590433,0.0,,
