step,train_loss,train_accuracy,learning_rate,wall_clock_time_sec,ce_loss,pairwise_loss,resistance_supervision_loss,val_accuracy,val_ece
1,1.6090936660766602,0.296875,0.001,1.190492868423462,1.6090936660766602,0.0,0.0,,
2,1.6094348430633545,0.203125,0.001,1.2032787799835205,1.6094348430633545,0.0,0.0,,
3,1.607086181640625,0.203125,0.001,1.2206175327301025,1.607086181640625,0.0,0.0,,
4,1.6048609018325806,0.25,0.001,1.2486014366149902,1.6048609018325806,0.0,0.0,,
5,1.6105011701583862,0.140625,0.001,1.2729849815368652,1.6105011701583862,0.0,0.0,,
6,1.6047402620315552,0.1875,0.001,1.2978315353393555,1.6047402620315552,0.0,0.0,,
7,1.6004632711410522,0.21875,0.001,1.311979055404663,1.6004632711410522,0.0,0.0,,
8,1.603126049041748,0.09375,0.001,1.3275046348571777,1.603126049041748,0.0,0.0,,
9,1.5938760042190552,0.1875,0.001,1.344163179397583,1.5938760042190552,0.0,0.0,,
10,1.5858842134475708,0.265625,0.001,1.3609809875488281,1.5858842134475708,0.0,0.0,,
11,1.5837138891220093,0.34375,0.001,1.3799445629119873,1.5837138891220093,0.0,0.0,,
12,1.5733437538146973,0.640625,0.001,1.392833948135376,1.5733437538146973,0.0,0.0,,
13,1.5679851770401,0.640625,0.001,1.4114665985107422,1.5679851770401,0.0,0.0,,
14,1.5476235151290894,0.71875,0.001,1.4290544986724854,1.5476235151290894,0.0,0.0,,
15,1.5300288200378418,0.6875,0.001,1.4525516033172607,1.5300288200378418,0.0,0.0,,
16,1.5191529989242554,0.75,0.001,1.4794678688049316,1.5191529989242554,0.0,0.0,,
17,1.486684799194336,0.859375,0.001,1.531092882156372,1.486684799194336,0.0,0.0,,
18,1.4654120206832886,0.6875,0.001,1.5536413192749023,1.4654120206832886,0.0,0.0,,
19,1.406520128250122,0.71875,0.001,1.57712721824646,1.406520128250122,0.0,0.0,,
20,1.3915817737579346,0.65625,0.001,1.6003289222717285,1.3915817737579346,0.0,0.0,,
21,1.30662202835083,0.828125,0.001,1.6228630542755127,1.30662202835083,0.0,0.0,,
22,1.2755756378173828,0.75,0.001,1.6474573612213135,1.2755756378173828,0.0,0.0,,
23,1.271709680557251,0.625,0.001,1.6703076362609863,1.271709680557251,0.0,0.0,,
24,1.231357216835022,0.578125,0.001,1.6944324970245361,1.231357216835022,0.0,0.0,,
25,1.1608455181121826,0.671875,0.001,1.707198143005371,1.1608455181121826,0.0,0.0,0.71484375,0.36999213695526123
26,1.0397545099258423,0.65625,0.001,1.8275516033172607,1.0397545099258423,0.0,0.0,,
27,0.9580942988395691,0.6875,0.001,1.8466997146606445,0.9580942988395691,0.0,0.0,,
28,0.9574296474456787,0.625,0.001,1.8661904335021973,0.9574296474456787,0.0,0.0,,
29,0.7116336226463318,0.8125,0.001,1.8863532543182373,0.7116336226463318,0.0,0.0,,
30,0.7899739146232605,0.703125,0.001,1.905236005783081,0.7899739146232605,0.0,0.0,,
31,0.7668160796165466,0.6875,0.001,1.9258382320404053,0.7668160796165466,0.0,0.0,,
32,0.6774945259094238,0.78125,0.001,1.9435465335845947,0.6774945259094238,0.0,0.0,,
33,0.6402838230133057,0.6875,0.001,1.9628021717071533,0.6402838230133057,0.0,0.0,,
34,0.6537783741950989,0.734375,0.001,1.983508825302124,0.6537783741950989,0.0,0.0,,
35,0.5012682676315308,0.796875,0.001,2.003098964691162,0.5012682676315308,0.0,0.0,,
