step,train_loss,train_accuracy,learning_rate,wall_clock_time_sec,ce_loss,pairwise_loss,resistance_supervision_loss,val_accuracy,val_ece
1,1.609459400177002,0.265625,0.001,0.03230476379394531,1.609459400177002,0.0,0.0,,
2,1.6088879108428955,0.171875,0.001,0.08674287796020508,1.6088879108428955,0.0,0.0,,
3,1.6097756624221802,0.15625,0.001,0.1219780445098877,1.6097756624221802,0.0,0.0,,
4,1.6080867052078247,0.25,0.001,0.17699050903320312,1.6080867052078247,0.0,0.0,,
5,1.6076425313949585,0.234375,0.001,0.21832799911499023,1.6076425313949585,0.0,0.0,,
6,1.6066982746124268,0.234375,0.001,0.2553873062133789,1.6066982746124268,0.0,0.0,,
7,1.6066383123397827,0.1875,0.001,0.2883157730102539,1.6066383123397827,0.0,0.0,,
8,1.6052747964859009,0.21875,0.001,0.3259246349334717,1.6052747964859009,0.0,0.0,,
9,1.6044249534606934,0.171875,0.001,0.35942673683166504,1.6044249534606934,0.0,0.0,,
10,1.6022752523422241,0.234375,0.001,0.3968234062194824,1.6022752523422241,0.0,0.0,,
11,1.6025973558425903,0.171875,0.001,0.441253662109375,1.6025973558425903,0.0,0.0,,
12,1.594831109046936,0.25,0.001,0.48063206672668457,1.594831109046936,0.0,0.0,,
13,1.6030700206756592,0.140625,0.001,0.5318260192871094,1.6030700206756592,0.0,0.0,,
14,1.5891008377075195,0.25,0.001,0.5839629173278809,1.5891008377075195,0.0,0.0,,
15,1.5862224102020264,0.375,0.001,0.6360507011413574,1.5862224102020264,0.0,0.0,,
16,1.5688211917877197,0.5625,0.001,0.6716744899749756,1.5688211917877197,0.0,0.0,,
17,1.5755724906921387,0.359375,0.001,0.7225565910339355,1.5755724906921387,0.0,0.0,,
18,1.5573394298553467,0.578125,0.001,0.7705578804016113,1.5573394298553467,0.0,0.0,,
19,1.5518910884857178,0.546875,0.001,0.8082578182220459,1.5518910884857178,0.0,0.0,,
20,1.529720664024353,0.5,0.001,0.8608653545379639,1.529720664024353,0.0,0.0,,
21,1.5224182605743408,0.46875,0.001,0.9127991199493408,1.5224182605743408,0.0,0.0,,
22,1.4975968599319458,0.578125,0.001,0.9874603748321533,1.4975968599319458,0.0,0.0,,
23,1.4936603307724,0.5,0.001,1.0196053981781006,1.4936603307724,0.0,0.0,,
24,1.465195894241333,0.59375,0.001,1.0567693710327148,1.465195894241333,0.0,0.0,,
25,1.4253555536270142,0.640625,0.001,1.095168113708496,1.4253555536270142,0.0,0.0,0.73046875,0.4641432762145996
26,1.395331859588623,0.59375,0.001,1.2800159454345703,1.395331859588623,0.0,0.0,,
27,1.3695048093795776,0.65625,0.001,1.3278021812438965,1.3695048093795776,0.0,0.0,,
28,1.2987977266311646,0.75,0.001,1.380049228668213,1.2987977266311646,0.0,0.0,,
29,1.2559711933135986,0.796875,0.001,1.4317948818206787,1.2559711933135986,0.0,0.0,,
30,1.1783279180526733,0.96875,0.001,1.4649112224578857,1.1783279180526733,0.0,0.0,,
31,1.1072311401367188,0.84375,0.001,1.519702434539795,1.1072311401367188,0.0,0.0,,
32,1.0444101095199585,0.859375,0.001,1.5672595500946045,1.0444101095199585,0.0,0.0,,
33,1.0018489360809326,0.875,0.001,1.7046582698822021,1.0018489360809326,0.0,0.0,,
34,0.8459511995315552,0.9375,0.001,1.7267327308654785,0.8459511995315552,0.0,0.0,,
35,0.7777516841888428,0.984375,0.001,1.7464311122894287,0.7777516841888428,0.0,0.0,,
36,0.7586179971694946,0.90625,0.001,1.7679853439331055,0.7586179971694946,0.0,0.0,,
37,0.707389235496521,0.90625,0.001,1.7891616821289062,0.707389235496521,0.0,0.0,,
38,0.6321259140968323,0.921875,0.001,1.8136193752288818,0.6321259140968323,0.0,0.0,,
39,0.6125586032867432,0.953125,0.001,1.8343491554260254,0.6125586032867432,0.0,0.0,,
40,0.5470241904258728,0.9375,0.001,1.8551933765411377,0.5470241904258728,0.0,0.0,,
41,0.46799594163894653,0.953125,0.001,1.8779971599578857,0.46799594163894653,0.0,0.0,,
42,0.40097057819366455,1.0,0.001,1.899298906326294,0.40097057819366455,0.0,0.0,,
43,0.4268204867839813,0.953125,0.001,1.9202516078948975,0.4268204867839813,0.0,0.0,,
44,0.3701470196247101,0.984375,0.001,1.941147804260254,0.3701470196247101,0.0,0.0,,
45,0.40455397963523865,0.953125,0.001,1.958770990371704,0.40455397963523865,0.0,0.0,,
46,0.36834001541137695,0.9375,0.001,1.9796028137207031,0.36834001541137695,0.0,0.0,,
47,0.2422340363264084,1.0,0.001,1.9996271133422852,0.2422340363264084,0.0,0.0,,
48,0.25102418661117554,0.984375,0.001,2.018990993499756,0.25102418661117554,0.0,0.0,,
