step,train_loss,train_accuracy,learning_rate,wall_clock_time_sec,ce_loss,pairwise_loss,resistance_supervision_loss,val_accuracy,val_ece
1,2.3058507442474365,0.078125,0.001,0.19914841651916504,2.3058507442474365,0.0,0.0,,
2,2.2929577827453613,0.25,0.001,0.2030773162841797,2.2929577827453613,0.0,0.0,,
3,2.283989906311035,0.21875,0.001,0.20563292503356934,2.283989906311035,0.0,0.0,,
4,2.26332426071167,0.46875,0.001,0.21741604804992676,2.26332426071167,0.0,0.0,,
5,2.249074935913086,0.34375,0.001,0.21999883651733398,2.249074935913086,0.0,0.0,,
6,2.235759973526001,0.46875,0.001,0.22398638725280762,2.235759973526001,0.0,0.0,,
7,2.2282283306121826,0.359375,0.001,0.22833037376403809,2.2282283306121826,0.0,0.0,,
8,2.222249984741211,0.40625,0.001,0.23472023010253906,2.222249984741211,0.0,0.0,,
9,2.19223952293396,0.375,0.001,0.24152302742004395,2.19223952293396,0.0,0.0,,
10,2.188385486602783,0.28125,0.001,0.24553990364074707,2.188385486602783,0.0,0.0,,
11,2.1718244552612305,0.375,0.001,0.2499246597290039,2.1718244552612305,0.0,0.0,,
12,2.1441540718078613,0.421875,0.001,0.2541477680206299,2.1441540718078613,0.0,0.0,,
13,2.1129555702209473,0.484375,0.001,0.25824904441833496,2.1129555702209473,0.0,0.0,,
14,2.085735559463501,0.46875,0.001,0.26120615005493164,2.085735559463501,0.0,0.0,,
15,2.0802195072174072,0.375,0.001,0.2641000747680664,2.0802195072174072,0.0,0.0,,
16,2.068309783935547,0.375,0.001,0.26891088485717773,2.068309783935547,0.0,0.0,,
17,2.0375688076019287,0.484375,0.001,0.2728738784790039,2.0375688076019287,0.0,0.0,,
18,2.0219149589538574,0.375,0.001,0.2766447067260742,2.0219149589538574,0.0,0.0,,
19,2.0459532737731934,0.3125,0.001,0.280597448348999,2.0459532737731934,0.0,0.0,,
20,1.9432482719421387,0.453125,0.001,0.286121129989624,1.9432482719421387,0.0,0.0,,
21,1.8800057172775269,0.46875,0.001,0.2891993522644043,1.8800057172775269,0.0,0.0,,
22,1.916162133216858,0.359375,0.001,0.29448485374450684,1.916162133216858,0.0,0.0,,
23,1.8635814189910889,0.421875,0.001,0.30414366722106934,1.8635814189910889,0.0,0.0,,
24,1.873243808746338,0.375,0.001,0.3082892894744873,1.873243808746338,0.0,0.0,,
25,1.7853741645812988,0.46875,0.001,0.5989842414855957,1.7853741645812988,0.0,0.0,0.4140625,0.20344267785549164
26,1.747572660446167,0.515625,0.001,0.6838464736938477,1.747572660446167,0.0,0.0,,
27,1.8492847681045532,0.40625,0.001,0.690793514251709,1.8492847681045532,0.0,0.0,,
28,1.739877462387085,0.359375,0.001,0.6934757232666016,1.739877462387085,0.0,0.0,,
29,1.665259599685669,0.53125,0.001,0.6961853504180908,1.665259599685669,0.0,0.0,,
30,1.73296320438385,0.375,0.001,0.7013912200927734,1.73296320438385,0.0,0.0,,
31,1.7261418104171753,0.390625,0.001,0.705291748046875,1.7261418104171753,0.0,0.0,,
32,1.5635778903961182,0.46875,0.001,0.7120532989501953,1.5635778903961182,0.0,0.0,,
33,1.621787428855896,0.46875,0.001,0.7158150672912598,1.621787428855896,0.0,0.0,,
34,1.6708688735961914,0.375,0.001,0.7224581241607666,1.6708688735961914,0.0,0.0,,
35,1.4079447984695435,0.578125,0.001,0.7268664836883545,1.4079447984695435,0.0,0.0,,
36,1.4585540294647217,0.53125,0.001,0.73134446144104,1.4585540294647217,0.0,0.0,,
37,1.6722173690795898,0.40625,0.001,0.73555588722229,1.6722173690795898,0.0,0.0,,
38,1.7507495880126953,0.40625,0.001,0.740062952041626,1.7507495880126953,0.0,0.0,,
39,1.58694326877594,0.515625,0.001,0.7443692684173584,1.58694326877594,0.0,0.0,,
40,1.5492132902145386,0.375,0.001,0.7488086223602295,1.5492132902145386,0.0,0.0,,
41,1.295985460281372,0.53125,0.001,0.757692813873291,1.295985460281372,0.0,0.0,,
42,1.4725278615951538,0.40625,0.001,0.7739167213439941,1.4725278615951538,0.0,0.0,,
43,1.444565773010254,0.46875,0.001,0.780592679977417,1.444565773010254,0.0,0.0,,
44,1.4286437034606934,0.453125,0.001,0.7860560417175293,1.4286437034606934,0.0,0.0,,
45,1.2865428924560547,0.546875,0.001,0.7919409275054932,1.2865428924560547,0.0,0.0,,
46,1.4197827577590942,0.453125,0.001,0.7957887649536133,1.4197827577590942,0.0,0.0,,
47,1.3436039686203003,0.484375,0.001,0.799609899520874,1.3436039686203003,0.0,0.0,,
48,1.550324559211731,0.5625,0.001,0.8051764965057373,1.550324559211731,0.0,0.0,,
49,1.4309667348861694,0.484375,0.001,0.8091113567352295,1.4309667348861694,0.0,0.0,,
50,1.4426698684692383,0.53125,0.001,0.8130848407745361,1.4426698684692383,0.0,0.0,0.52734375,0.12057758867740631
51,1.4713441133499146,0.421875,0.001,0.8918972015380859,1.4713441133499146,0.0,0.0,,
52,1.38053297996521,0.515625,0.001,0.9065759181976318,1.38053297996521,0.0,0.0,,
53,1.439479947090149,0.484375,0.001,0.910994291305542,1.439479947090149,0.0,0.0,,
54,1.562439203262329,0.34375,0.001,0.9149093627929688,1.562439203262329,0.0,0.0,,
55,1.2888448238372803,0.53125,0.001,0.920417070388794,1.2888448238372803,0.0,0.0,,
56,1.4044840335845947,0.59375,0.001,0.9259955883026123,1.4044840335845947,0.0,0.0,,
57,1.3873512744903564,0.59375,0.001,0.9341278076171875,1.3873512744903564,0.0,0.0,,
58,1.4476916790008545,0.515625,0.001,0.9388704299926758,1.4476916790008545,0.0,0.0,,
59,1.3897573947906494,0.484375,0.001,0.945288896560669,1.3897573947906494,0.0,0.0,,
60,1.7060288190841675,0.375,0.001,0.9501204490661621,1.7060288190841675,0.0,0.0,,
61,1.2311091423034668,0.546875,0.001,0.9543156623840332,1.2311091423034668,0.0,0.0,,
62,1.4346171617507935,0.4375,0.001,0.9626936912536621,1.4346171617507935,0.0,0.0,,
63,1.4292956590652466,0.40625,0.001,0.9684848785400391,1.4292956590652466,0.0,0.0,,
64,1.583446979522705,0.4375,0.001,0.9741930961608887,1.583446979522705,0.0,0.0,,
65,1.2604892253875732,0.59375,0.001,0.9808335304260254,1.2604892253875732,0.0,0.0,,
66,1.2262670993804932,0.515625,0.001,0.9862263202667236,1.2262670993804932,0.0,0.0,,
67,1.676979899406433,0.375,0.001,0.9978735446929932,1.676979899406433,0.0,0.0,,
68,1.2020219564437866,0.625,0.001,1.0054266452789307,1.2020219564437866,0.0,0.0,,
69,1.3846107721328735,0.46875,0.001,1.0095524787902832,1.3846107721328735,0.0,0.0,,
70,1.3676432371139526,0.4375,0.001,1.015157699584961,1.3676432371139526,0.0,0.0,,
71,1.4596964120864868,0.515625,0.001,1.0627355575561523,1.4596964120864868,0.0,0.0,,
72,1.4874414205551147,0.421875,0.001,1.0684177875518799,1.4874414205551147,0.0,0.0,,
73,1.268701195716858,0.625,0.001,1.0741262435913086,1.268701195716858,0.0,0.0,,
74,1.4264836311340332,0.5,0.001,1.0798044204711914,1.4264836311340332,0.0,0.0,,
75,1.3609178066253662,0.5,0.001,1.085533857345581,1.3609178066253662,0.0,0.0,0.4921875,0.08706022799015045
76,1.0867266654968262,0.578125,0.001,1.183302640914917,1.0867266654968262,0.0,0.0,,
77,1.404442310333252,0.46875,0.001,1.18910813331604,1.404442310333252,0.0,0.0,,
78,1.4705476760864258,0.46875,0.001,1.1966798305511475,1.4705476760864258,0.0,0.0,,
79,1.479051113128662,0.453125,0.001,1.2120113372802734,1.479051113128662,0.0,0.0,,
80,1.1566557884216309,0.5,0.001,1.2168753147125244,1.1566557884216309,0.0,0.0,,
81,1.3273283243179321,0.53125,0.001,1.2291216850280762,1.3273283243179321,0.0,0.0,,
82,1.3463213443756104,0.5,0.001,1.2336409091949463,1.3463213443756104,0.0,0.0,,
83,1.6366362571716309,0.375,0.001,1.2446410655975342,1.6366362571716309,0.0,0.0,,
84,1.3288617134094238,0.515625,0.001,1.2502140998840332,1.3288617134094238,0.0,0.0,,
85,1.4183025360107422,0.546875,0.001,1.2568564414978027,1.4183025360107422,0.0,0.0,,
86,1.6079778671264648,0.421875,0.001,1.2625231742858887,1.6079778671264648,0.0,0.0,,
87,1.2711888551712036,0.609375,0.001,1.2680623531341553,1.2711888551712036,0.0,0.0,,
88,1.23399817943573,0.578125,0.001,1.27418851852417,1.23399817943573,0.0,0.0,,
89,1.2909737825393677,0.5,0.001,1.2834062576293945,1.2909737825393677,0.0,0.0,,
90,1.3443994522094727,0.53125,0.001,1.2889339923858643,1.3443994522094727,0.0,0.0,,
91,1.4275832176208496,0.5,0.001,1.2947194576263428,1.4275832176208496,0.0,0.0,,
92,1.2007637023925781,0.609375,0.001,1.2999787330627441,1.2007637023925781,0.0,0.0,,
93,1.402700662612915,0.5,0.001,1.3077876567840576,1.402700662612915,0.0,0.0,,
94,1.2351267337799072,0.59375,0.001,1.3150744438171387,1.2351267337799072,0.0,0.0,,
95,1.1274241209030151,0.59375,0.001,1.3209099769592285,1.1274241209030151,0.0,0.0,,
