step,train_loss,train_accuracy,learning_rate,wall_clock_time_sec,ce_loss,pairwise_loss,resistance_supervision_loss,val_accuracy,val_ece
1,2.4564452171325684,0.0625,0.001,0.011774539947509766,2.3249895572662354,0.012446453794836998,0.523333728313446,,
2,2.4783310890197754,0.046875,0.001,0.02843785285949707,2.3321704864501953,0.01245215255767107,0.5821527242660522,,
3,2.435366153717041,0.109375,0.001,0.04473137855529785,2.305732488632202,0.01256999745965004,0.5160204172134399,,
4,2.4511661529541016,0.171875,0.001,0.05462813377380371,2.317779779434204,0.012713838368654251,0.5310031175613403,,
5,2.4663400650024414,0.140625,0.001,0.06780362129211426,2.3198466300964355,0.012818662449717522,0.5834102034568787,,
6,2.4379167556762695,0.0625,0.001,0.07946014404296875,2.314711093902588,0.012912276200950146,0.4902399778366089,,
7,2.4270718097686768,0.125,0.001,0.09255671501159668,2.3055613040924072,0.013002564199268818,0.48344117403030396,,
8,2.4356296062469482,0.125,0.001,0.10843253135681152,2.30566143989563,0.013116462156176567,0.5172489285469055,,
9,2.420346260070801,0.171875,0.001,0.12688827514648438,2.3034818172454834,0.013242492452263832,0.4648092985153198,,
10,2.4213719367980957,0.09375,0.001,0.13828492164611816,2.3120293617248535,0.01338500902056694,0.43469303846359253,,
11,2.4045474529266357,0.140625,0.001,0.151015043258667,2.2984490394592285,0.01354136411100626,0.42168503999710083,,
12,2.3869271278381348,0.171875,0.001,0.16905903816223145,2.2924344539642334,0.01371813751757145,0.3752274513244629,,
13,2.3768739700317383,0.140625,0.001,0.18336796760559082,2.2820048332214355,0.013895178213715553,0.3766971230506897,,
14,2.38177490234375,0.15625,0.001,0.19715356826782227,2.2761809825897217,0.014071821235120296,0.41956090927124023,,
15,2.371840715408325,0.1875,0.001,0.20725178718566895,2.2858095169067383,0.014274165965616703,0.34126919507980347,,
16,2.3482749462127686,0.21875,0.001,0.2193915843963623,2.269270896911621,0.014493889175355434,0.3131171762943268,,
17,2.336125373840332,0.171875,0.001,0.23290181159973145,2.2716917991638184,0.014733110554516315,0.25478729605674744,,
18,2.323371648788452,0.296875,0.001,0.24914908409118652,2.2529282569885254,0.01498494017869234,0.2787764370441437,,
19,2.3132102489471436,0.109375,0.001,0.26006054878234863,2.261631727218628,0.015258713625371456,0.2032625377178192,,
20,2.301128625869751,0.21875,0.001,0.27454185485839844,2.2489969730377197,0.015530512668192387,0.2054208219051361,,
21,2.2934694290161133,0.328125,0.001,0.29169201850891113,2.2419276237487793,0.015802092850208282,0.20300644636154175,,
22,2.291231155395508,0.234375,0.001,0.3056371212005615,2.2440361976623535,0.01607438549399376,0.1855653077363968,,
23,2.2771522998809814,0.3125,0.001,0.327333927154541,2.2318942546844482,0.016362786293029785,0.17775937914848328,,
24,2.253906726837158,0.359375,0.001,0.34018850326538086,2.2133877277374268,0.01665833778679371,0.15874367952346802,,
25,2.2445991039276123,0.203125,0.001,0.41251444816589355,2.2148044109344482,0.016952449455857277,0.11578848212957382,0.27734375,0.1523871123790741
26,2.2291908264160156,0.3125,0.001,0.5183689594268799,2.203244924545288,0.017255226150155067,0.1003320962190628,,
27,2.2065351009368896,0.3125,0.001,0.5380547046661377,2.18072772026062,0.017538852989673615,0.09972217679023743,,
28,2.1983425617218018,0.34375,0.001,0.5548405647277832,2.173718214035034,0.017836367711424828,0.09492969512939453,,
29,2.200026750564575,0.296875,0.001,0.5706803798675537,2.1771631240844727,0.01812891662120819,0.08782842010259628,,
30,2.171151876449585,0.375,0.001,0.5826988220214844,2.1501026153564453,0.018416857346892357,0.08051390945911407,,
31,2.191030502319336,0.234375,0.001,0.5981142520904541,2.1715199947357178,0.018693042919039726,0.0743037611246109,,
32,2.1280691623687744,0.359375,0.001,0.6208095550537109,2.1093156337738037,0.018941910937428474,0.07122618705034256,,
33,2.1506669521331787,0.359375,0.001,0.6351339817047119,2.134080410003662,0.019174717366695404,0.0625118762254715,,
34,2.1246390342712402,0.421875,0.001,0.6591441631317139,2.107938766479492,0.01939551532268524,0.06292115151882172,,
35,2.107409954071045,0.390625,0.001,0.6848034858703613,2.0931551456451416,0.019605673849582672,0.05309794843196869,,
36,2.0916638374328613,0.375,0.001,0.7055568695068359,2.074951648712158,0.019810467958450317,0.06288637220859528,,
37,2.091939687728882,0.25,0.001,0.7220988273620605,2.0775697231292725,0.019995853304862976,0.053481072187423706,,
38,2.091461420059204,0.421875,0.001,0.7465550899505615,2.0784125328063965,0.02016611211001873,0.04816213622689247,,
39,2.0784945487976074,0.375,0.001,0.7721507549285889,2.065964460372925,0.020305698737502098,0.04605972021818161,,
40,2.078526020050049,0.25,0.001,0.7978916168212891,2.064324140548706,0.02042510360479355,0.05272257328033447,,
41,2.0447404384613037,0.421875,0.001,0.8203434944152832,2.0297508239746094,0.02049933560192585,0.05585837364196777,,
42,2.053762912750244,0.328125,0.001,0.849550724029541,2.041252851486206,0.020527834072709084,0.04593498259782791,,
43,2.0491812229156494,0.25,0.001,0.875974178314209,2.036034107208252,0.02051910012960434,0.04848477244377136,,
44,1.9578180313110352,0.390625,0.001,0.901531457901001,1.9454596042633057,0.020478013902902603,0.04533796012401581,,
45,2.0043933391571045,0.375,0.001,0.9294993877410889,1.9866529703140259,0.020424209535121918,0.06687648594379425,,
46,2.0647401809692383,0.3125,0.001,0.9591550827026367,2.0493581295013428,0.02032991126179695,0.05746263265609741,,
47,2.0118720531463623,0.390625,0.001,0.981621503829956,1.9949599504470825,0.02020455151796341,0.06360814720392227,,
48,2.001502513885498,0.390625,0.001,1.0046813488006592,1.9857730865478516,0.02003602497279644,0.05890990421175957,,
49,1.9359278678894043,0.3125,0.001,1.0317165851593018,1.918758749961853,0.019851593300700188,0.06470616161823273,,
50,1.959787130355835,0.375,0.001,1.0606443881988525,1.9450477361679077,0.019626276567578316,0.05503208935260773,0.421875,0.19070105254650116
