step,train_loss,train_accuracy,learning_rate,wall_clock_time_sec,ce_loss,pairwise_loss,resistance_supervision_loss,val_accuracy,val_ece
1,2.3027994632720947,0.078125,0.001,0.010765552520751953,2.3027994632720947,0.0,0.0,,
2,2.303433656692505,0.03125,0.001,0.02306199073791504,2.303433656692505,0.0,0.0,,
3,2.3019227981567383,0.109375,0.001,0.03583407402038574,2.3019227981567383,0.0,0.0,,
4,2.30173397064209,0.109375,0.001,0.05368518829345703,2.30173397064209,0.0,0.0,,
5,2.3017971515655518,0.125,0.001,0.06603431701660156,2.3017971515655518,0.0,0.0,,
6,2.3020527362823486,0.03125,0.001,0.07920026779174805,2.3020527362823486,0.0,0.0,,
7,2.300302267074585,0.25,0.001,0.09181499481201172,2.300302267074585,0.0,0.0,,
8,2.2999651432037354,0.140625,0.001,0.10564231872558594,2.2999651432037354,0.0,0.0,,
9,2.2986350059509277,0.15625,0.001,0.11872386932373047,2.2986350059509277,0.0,0.0,,
10,2.2943851947784424,0.125,0.001,0.13277244567871094,2.2943851947784424,0.0,0.0,,
11,2.2890822887420654,0.234375,0.001,0.15175962448120117,2.2890822887420654,0.0,0.0,,
12,2.282050371170044,0.390625,0.001,0.16523122787475586,2.282050371170044,0.0,0.0,,
13,2.275371551513672,0.28125,0.001,0.17843008041381836,2.275371551513672,0.0,0.0,,
14,2.267012596130371,0.296875,0.001,0.1958909034729004,2.267012596130371,0.0,0.0,,
15,2.26284122467041,0.296875,0.001,0.20910954475402832,2.26284122467041,0.0,0.0,,
16,2.2433969974517822,0.25,0.001,0.22372913360595703,2.2433969974517822,0.0,0.0,,
17,2.2331299781799316,0.078125,0.001,0.23429179191589355,2.2331299781799316,0.0,0.0,,
18,2.208021879196167,0.265625,0.001,0.2461409568786621,2.208021879196167,0.0,0.0,,
19,2.1759040355682373,0.265625,0.001,0.25966572761535645,2.1759040355682373,0.0,0.0,,
20,2.1627461910247803,0.28125,0.001,0.2745094299316406,2.1627461910247803,0.0,0.0,,
21,2.1569111347198486,0.28125,0.001,0.2858593463897705,2.1569111347198486,0.0,0.0,,
22,2.1061527729034424,0.328125,0.001,0.3043837547302246,2.1061527729034424,0.0,0.0,,
23,2.0479230880737305,0.234375,0.001,0.3191373348236084,2.0479230880737305,0.0,0.0,,
24,1.962937831878662,0.390625,0.001,0.33809781074523926,1.962937831878662,0.0,0.0,,
25,1.9109892845153809,0.28125,0.001,0.39894723892211914,1.9109892845153809,0.0,0.0,0.25,0.06157643347978592
26,2.0022616386413574,0.265625,0.001,0.5476431846618652,2.0022616386413574,0.0,0.0,,
27,1.875763177871704,0.21875,0.001,0.5617055892944336,1.875763177871704,0.0,0.0,,
28,1.8753613233566284,0.234375,0.001,0.578021764755249,1.8753613233566284,0.0,0.0,,
29,1.9123501777648926,0.25,0.001,0.5955445766448975,1.9123501777648926,0.0,0.0,,
30,1.8461618423461914,0.25,0.001,0.6137638092041016,1.8461618423461914,0.0,0.0,,
31,1.8928649425506592,0.125,0.001,0.6291472911834717,1.8928649425506592,0.0,0.0,,
32,1.7430363893508911,0.234375,0.001,0.648543119430542,1.7430363893508911,0.0,0.0,,
33,1.8816277980804443,0.21875,0.001,0.6654601097106934,1.8816277980804443,0.0,0.0,,
34,1.742809772491455,0.328125,0.001,0.6871540546417236,1.742809772491455,0.0,0.0,,
