step,train_loss,train_accuracy,learning_rate,wall_clock_time_sec,ce_loss,pairwise_loss,resistance_supervision_loss,val_accuracy,val_ece
1,2.30243182182312,0.140625,0.001,0.33056640625,2.30243182182312,0.0,0.0,,
2,2.303028106689453,0.046875,0.001,0.3426227569580078,2.303028106689453,0.0,0.0,,
3,2.301480531692505,0.125,0.001,0.3589446544647217,2.301480531692505,0.0,0.0,,
4,2.303093433380127,0.078125,0.001,0.3681507110595703,2.303093433380127,0.0,0.0,,
5,2.29897141456604,0.09375,0.001,0.38108158111572266,2.29897141456604,0.0,0.0,,
6,2.30078125,0.09375,0.001,0.3936340808868408,2.30078125,0.0,0.0,,
7,2.298403739929199,0.109375,0.001,0.40775156021118164,2.298403739929199,0.0,0.0,,
8,2.2960453033447266,0.3125,0.001,0.42704081535339355,2.2960453033447266,0.0,0.0,,
9,2.293549060821533,0.203125,0.001,0.437824010848999,2.293549060821533,0.0,0.0,,
10,2.2925968170166016,0.21875,0.001,0.45160603523254395,2.2925968170166016,0.0,0.0,,
11,2.2903692722320557,0.140625,0.001,0.46356821060180664,2.2903692722320557,0.0,0.0,,
12,2.2835962772369385,0.1875,0.001,0.47887301445007324,2.2835962772369385,0.0,0.0,,
13,2.284773349761963,0.09375,0.001,0.5005626678466797,2.284773349761963,0.0,0.0,,
14,2.2764320373535156,0.234375,0.001,0.5845389366149902,2.2764320373535156,0.0,0.0,,
15,2.274338722229004,0.15625,0.001,0.6024768352508545,2.274338722229004,0.0,0.0,,
16,2.2514266967773438,0.203125,0.001,0.6234498023986816,2.2514266967773438,0.0,0.0,,
17,2.2486681938171387,0.1875,0.001,0.6381418704986572,2.2486681938171387,0.0,0.0,,
18,2.246035099029541,0.125,0.001,0.6606690883636475,2.246035099029541,0.0,0.0,,
19,2.220860481262207,0.140625,0.001,0.6902053356170654,2.220860481262207,0.0,0.0,,
20,2.1962740421295166,0.234375,0.001,0.7323400974273682,2.1962740421295166,0.0,0.0,,
21,2.1742472648620605,0.15625,0.001,0.7565548419952393,2.1742472648620605,0.0,0.0,,
22,2.1419742107391357,0.203125,0.001,0.7754344940185547,2.1419742107391357,0.0,0.0,,
23,2.0964744091033936,0.15625,0.001,0.7952642440795898,2.0964744091033936,0.0,0.0,,
24,2.047773599624634,0.296875,0.001,0.8136680126190186,2.047773599624634,0.0,0.0,,
25,2.0440192222595215,0.171875,0.001,0.8351287841796875,2.0440192222595215,0.0,0.0,0.20703125,0.043155789375305176
26,1.9648646116256714,0.1875,0.001,0.9530797004699707,1.9648646116256714,0.0,0.0,,
27,1.9879310131072998,0.1875,0.001,0.9662938117980957,1.9879310131072998,0.0,0.0,,
28,1.9402767419815063,0.1875,0.001,0.9846770763397217,1.9402767419815063,0.0,0.0,,
29,2.049703359603882,0.140625,0.001,1.0052378177642822,2.049703359603882,0.0,0.0,,
30,1.9700309038162231,0.1875,0.001,1.0361301898956299,1.9700309038162231,0.0,0.0,,
31,2.0841116905212402,0.125,0.001,1.0546245574951172,2.0841116905212402,0.0,0.0,,
32,1.826246738433838,0.25,0.001,1.0731329917907715,1.826246738433838,0.0,0.0,,
33,1.8840378522872925,0.234375,0.001,1.1085786819458008,1.8840378522872925,0.0,0.0,,
34,1.7429636716842651,0.171875,0.001,1.145738124847412,1.7429636716842651,0.0,0.0,,
35,1.848583698272705,0.1875,0.001,1.2480957508087158,1.848583698272705,0.0,0.0,,
36,1.8415945768356323,0.265625,0.001,1.27354097366333,1.8415945768356323,0.0,0.0,,
37,1.724112629890442,0.390625,0.001,1.3050346374511719,1.724112629890442,0.0,0.0,,
38,2.0473275184631348,0.265625,0.001,1.3423998355865479,2.0473275184631348,0.0,0.0,,
39,1.7842122316360474,0.203125,0.001,1.3744187355041504,1.7842122316360474,0.0,0.0,,
40,1.8728667497634888,0.1875,0.001,1.4163451194763184,1.8728667497634888,0.0,0.0,,
41,1.9166277647018433,0.25,0.001,1.4419608116149902,1.9166277647018433,0.0,0.0,,
42,1.75741708278656,0.28125,0.001,1.4766554832458496,1.75741708278656,0.0,0.0,,
43,1.7789528369903564,0.28125,0.001,1.5052802562713623,1.7789528369903564,0.0,0.0,,
44,1.6998980045318604,0.34375,0.001,1.5543005466461182,1.6998980045318604,0.0,0.0,,
45,1.8475795984268188,0.453125,0.001,1.572572946548462,1.8475795984268188,0.0,0.0,,
46,1.76066255569458,0.390625,0.001,3.0376431941986084,1.76066255569458,0.0,0.0,,
47,1.7451469898223877,0.28125,0.001,3.052712917327881,1.7451469898223877,0.0,0.0,,
48,1.874193787574768,0.203125,0.001,3.0767529010772705,1.874193787574768,0.0,0.0,,
49,1.7186126708984375,0.171875,0.001,3.1043198108673096,1.7186126708984375,0.0,0.0,,
50,1.6503146886825562,0.3125,0.001,3.126293659210205,1.6503146886825562,0.0,0.0,0.35546875,0.09184279292821884
51,1.7557839155197144,0.265625,0.001,3.2372653484344482,1.7557839155197144,0.0,0.0,,
52,1.6510324478149414,0.4375,0.001,3.2712883949279785,1.6510324478149414,0.0,0.0,,
53,1.6808193922042847,0.3125,0.001,3.3048059940338135,1.6808193922042847,0.0,0.0,,
54,1.6599626541137695,0.328125,0.001,3.3260459899902344,1.6599626541137695,0.0,0.0,,
55,1.6402736902236938,0.453125,0.001,3.3469882011413574,1.6402736902236938,0.0,0.0,,
56,1.6562199592590332,0.296875,0.001,4.811706066131592,1.6562199592590332,0.0,0.0,,
57,1.680110216140747,0.328125,0.001,4.841723203659058,1.680110216140747,0.0,0.0,,
58,1.742578148841858,0.375,0.001,4.870482444763184,1.742578148841858,0.0,0.0,,
59,1.6867082118988037,0.328125,0.001,4.893491983413696,1.6867082118988037,0.0,0.0,,
60,1.8200591802597046,0.296875,0.001,4.918790102005005,1.8200591802597046,0.0,0.0,,
61,1.6830928325653076,0.390625,0.001,4.94286036491394,1.6830928325653076,0.0,0.0,,
62,1.7702879905700684,0.375,0.001,4.961252927780151,1.7702879905700684,0.0,0.0,,
63,1.7608319520950317,0.28125,0.001,4.9930596351623535,1.7608319520950317,0.0,0.0,,
64,1.7216943502426147,0.328125,0.001,5.025209665298462,1.7216943502426147,0.0,0.0,,
65,1.6334466934204102,0.375,0.001,5.053592681884766,1.6334466934204102,0.0,0.0,,
66,1.5901650190353394,0.3125,0.001,5.09911847114563,1.5901650190353394,0.0,0.0,,
67,1.5453468561172485,0.3125,0.001,5.134896755218506,1.5453468561172485,0.0,0.0,,
68,1.5489795207977295,0.453125,0.001,5.161968946456909,1.5489795207977295,0.0,0.0,,
69,1.7317816019058228,0.359375,0.001,5.190424203872681,1.7317816019058228,0.0,0.0,,
70,1.5965765714645386,0.328125,0.001,5.214374542236328,1.5965765714645386,0.0,0.0,,
71,1.548492431640625,0.46875,0.001,5.2587409019470215,1.548492431640625,0.0,0.0,,
72,1.5869371891021729,0.34375,0.001,5.282027244567871,1.5869371891021729,0.0,0.0,,
73,1.8852674961090088,0.3125,0.001,5.3082451820373535,1.8852674961090088,0.0,0.0,,
74,1.6594830751419067,0.3125,0.001,5.3403918743133545,1.6594830751419067,0.0,0.0,,
75,1.86266028881073,0.3125,0.001,5.367624759674072,1.86266028881073,0.0,0.0,0.39453125,0.06800669431686401
76,1.4437636137008667,0.46875,0.001,5.505091428756714,1.4437636137008667,0.0,0.0,,
77,1.5359667539596558,0.390625,0.001,5.53580641746521,1.5359667539596558,0.0,0.0,,
78,1.6338173151016235,0.296875,0.001,5.564397096633911,1.6338173151016235,0.0,0.0,,
79,1.491788625717163,0.4375,0.001,5.593002080917358,1.491788625717163,0.0,0.0,,
80,1.4868544340133667,0.5,0.001,5.652297735214233,1.4868544340133667,0.0,0.0,,
81,1.698070764541626,0.328125,0.001,5.686115741729736,1.698070764541626,0.0,0.0,,
82,1.5248007774353027,0.359375,0.001,5.743383169174194,1.5248007774353027,0.0,0.0,,
83,1.6400866508483887,0.4375,0.001,5.767796754837036,1.6400866508483887,0.0,0.0,,
84,1.6772270202636719,0.3125,0.001,5.798476219177246,1.6772270202636719,0.0,0.0,,
85,1.490872859954834,0.390625,0.001,6.025989294052124,1.490872859954834,0.0,0.0,,
86,1.528038501739502,0.34375,0.001,6.159167766571045,1.528038501739502,0.0,0.0,,
87,1.47899329662323,0.390625,0.001,7.52976131439209,1.47899329662323,0.0,0.0,,
88,1.4232065677642822,0.375,0.001,7.546412229537964,1.4232065677642822,0.0,0.0,,
89,1.4671896696090698,0.5,0.001,7.566614866256714,1.4671896696090698,0.0,0.0,,
